url,status,final_url,in_sitemap,title,title_len,meta_len,h1_count,words,noindex,canonical,images_no_alt,internal_links,schema,resp_s
https://www.bariatriccounselingcenter.com/,200,,True,Emotional & Binge Eating Therapy San Antonio TX | BCC,53,150,1,1647,False,https://www.bariatriccounselingcenter.com/,0,44,Answer|FAQPage|ImageObject|Place|PostalAddress|Question|SearchAction|VideoObject|WebPage|WebSite,0.42
https://www.bariatriccounselingcenter.com/blog/,200,,True,Blog | Bariatric Counseling Center | Specialized Weight Loss Support,68,0,1,857,False,https://www.bariatriccounselingcenter.com/blog/,0,59,BreadcrumbList|CollectionPage|ImageObject|ListItem|LocalBusiness|Place|PostalAddress|WebSite,0.38
https://www.bariatriccounselingcenter.com/self-improvement/mental-health/how-adhd-impacts-eating-habits-and-weight-management/,200,,True,How ADHD Impacts Eating Habits & Weight | BCC,45,151,1,2711,False,https://www.bariatriccounselingcenter.com/self-improvement/mental-health/how-adhd-impacts-eating-habits-and-weight-management/,0,84,Answer|BreadcrumbList|FAQPage|ImageObject|ListItem|NewsArticle|Person|Place|PostalAddress|Question|WebPage|WebSite,0.85
https://www.bariatriccounselingcenter.com/self-improvement/mental-health/preparing-for-bariatric-surgery-a-mental-health-checklist/,200,,True,Preparing For Bariatric Surgery: Mental Health Checklist | BCC,62,157,1,2668,False,https://www.bariatriccounselingcenter.com/self-improvement/mental-health/preparing-for-bariatric-surgery-a-mental-health-checklist/,0,78,Answer|BreadcrumbList|FAQPage|ImageObject|ListItem|NewsArticle|Person|Place|PostalAddress|Question|VideoObject|WebPage|WebSite,0.4
https://www.bariatriccounselingcenter.com/eating-disorders/emotional-eating-vs-disordered-eating-how-do-you-know-the-difference/,200,,True,Emotional Eating Vs. Disordered Eating: How To Tell | BCC,57,158,1,2027,False,https://www.bariatriccounselingcenter.com/eating-disorders/emotional-eating-vs-disordered-eating-how-do-you-know-the-difference/,0,74,Answer|BreadcrumbList|FAQPage|ImageObject|ListItem|NewsArticle|Person|Place|PostalAddress|Question|WebPage|WebSite,0.37
https://www.bariatriccounselingcenter.com/self-improvement/mental-health/coping-with-emotional-eating-building-an-emotional-first-aid-kit/,200,,True,Coping With Emotional Eating: Build A First-Aid Kit | BCC,57,144,1,2024,False,https://www.bariatriccounselingcenter.com/self-improvement/mental-health/coping-with-emotional-eating-building-an-emotional-first-aid-kit/,0,74,Answer|BreadcrumbList|FAQPage|ImageObject|ListItem|NewsArticle|Person|Place|PostalAddress|Question|WebPage|WebSite,0.84
https://www.bariatriccounselingcenter.com/eating-disorders/binge-eating-disorder-the-symptoms-causes-and-effective-treatment-options/,200,,True,"Binge Eating Disorder: Symptoms, Causes & Treatment | BCC",57,153,1,2426,False,https://www.bariatriccounselingcenter.com/eating-disorders/binge-eating-disorder-the-symptoms-causes-and-effective-treatment-options/,0,84,Answer|BreadcrumbList|FAQPage|ImageObject|ListItem|NewsArticle|Person|Place|PostalAddress|Question|VideoObject|WebPage|WebSite,0.37
https://www.bariatriccounselingcenter.com/healthy-living-2/why-hydration-is-essential-for-weight-loss-and-management/,200,,True,Does Dehydration Cause Weight Loss? What To Know,48,136,1,1985,False,https://www.bariatriccounselingcenter.com/healthy-living-2/why-hydration-is-essential-for-weight-loss-and-management/,0,77,Answer|BreadcrumbList|FAQPage|ImageObject|ListItem|MedicalOrganization|NewsArticle|Person|Place|PostalAddress|Question|WebPage|WebSite,0.33
https://www.bariatriccounselingcenter.com/self-improvement/weight-loss-journey-self-improvement/pre-bariatric-surgery-binge-eating-screening/,200,,True,Pre-Bariatric Surgery And Binge Eating Screening: Why Surgeons Want It Caught Before The OR | Bariatric Counseling Center | Specialized Weight Loss Support,155,142,1,1694,False,https://www.bariatriccounselingcenter.com/self-improvement/weight-loss-journey-self-improvement/pre-bariatric-surgery-binge-eating-screening/,0,71,BreadcrumbList|ImageObject|ListItem|NewsArticle|Person|Place|PostalAddress|WebPage|WebSite,0.35
https://www.bariatriccounselingcenter.com/emotional-eating/emotional-eating-and-coping-skills/,200,,True,Coping Skills For Eating Disorders & Emotional Eating | BCC,59,157,1,1166,False,https://www.bariatriccounselingcenter.com/emotional-eating/emotional-eating-and-coping-skills/,0,65,Answer|BreadcrumbList|FAQPage|ImageObject|ListItem|NewsArticle|Person|Place|PostalAddress|Question|WebPage|WebSite,0.32
