type,url,detail,pages,first_seen,confirmed,suggest
unreachable external link,https://doi.org/10.1146/annurev-psych-113011-143750,HTTP 403,https://www.bariatriccounselingcenter.com/self-improvement/mental-health/how-adhd-impacts-eating-habits-and-weight-management/,2026-09-22,True,
unreachable external link,https://doi.org/10.1176/appi.ps.20240574,HTTP 403,https://www.bariatriccounselingcenter.com/self-improvement/mental-health/how-adhd-impacts-eating-habits-and-weight-management/,2026-09-22,True,
image unreachable,https://secure.gravatar.com/avatar/a6704e42f75c225d2845cd2420d2ff9cc96ed76b6242da6bc7ec72aed091445d?s=160&d=mm&r=g,URLError: <urlopen error [WinError 10054] An existing connection was forcibly closed by th,https://www.bariatriccounselingcenter.com/2022/07/dr-sara-hamilton-a-holistic-approach-to-weight-loss/ https://www.bariatriccounselingcenter.com/2023/11/what-is-emotional-eating/ https://www.bariatriccounselingcenter.com/blog/what-is-emotional-eating/ https://www.bariatriccounselingcenter.com/diet-and-nutrition/sustainable-eating-habits-tips-for-long-term-wellness/ https://www.bariatriccounselingcenter.com/eating-disorders/binge-eating-disorder-the-symptoms-causes-and-effective-treatment-options/ https://www.bariatriccounselingcenter.com/emotional-eating/a-new-approach-to-holiday-eating/ https://www.bariatriccounselingcenter.com/emotional-eating/what-is-emotional-eating/ https://www.bariatriccounselingcenter.com/healthy-living-2/how-do-i-manage-cravings-and-impulse-eating/ https://www.bariatriccounselingcenter.com/healthy-living-2/how-do-i-manage-cravings-and-impulse-eating/?utm_source=chatgpt.com https://www.bariatriccounselingcenter.com/self-improvement/behavioral-patterns/sustaining-the-impact-of-ozempic-and-other-sema-glutide-injectables-with-behavioral-support/ https://www.bariatriccounselingcenter.com/self-improvement/mental-health/how-adhd-impacts-eating-habits-and-weight-management/ https://www.bariatriccounselingcenter.com/self-improvement/mental-health/how-to-improve-self-esteem-while-losing-weight-the-healthy-way/ https://www.bariatriccounselingcenter.com/staff/bcc-in-the-news/ https://www.bariatriccounselingcenter.com/staff/dr-sara-hamilton-a-holistic-approach-to-weight-loss/ https://www.bariatriccounselingcenter.com/staff/meet-dr-sara-hamilton/ https://www.bariatriccounselingcenter.com/weight-loss-counseling/how-do-i-choose-a-weight-loss-program/,2026-09-24,False,
image unreachable,https://secure.gravatar.com/avatar/3c020df52c6ad2e9405ffb9a94c9ef0f407a64c32a763a3cceec731c42b5d959?s=80&d=mm&r=g,URLError: <urlopen error [WinError 10054] An existing connection was forcibly closed by th,https://www.bariatriccounselingcenter.com/eating-disorders/emotional-eating-vs-disordered-eating-how-do-you-know-the-difference/,2026-09-24,False,
image unreachable,https://secure.gravatar.com/avatar/3c020df52c6ad2e9405ffb9a94c9ef0f407a64c32a763a3cceec731c42b5d959?s=160&d=mm&r=g,URLError: <urlopen error [WinError 10054] An existing connection was forcibly closed by th,https://www.bariatriccounselingcenter.com/eating-disorders/emotional-eating-vs-disordered-eating-how-do-you-know-the-difference/,2026-09-24,False,
unreachable external link,https://www.jandonline.org/action/showPdf?pii=S2212-2672%2814%2901886-3,HTTP 403,https://www.bariatriccounselingcenter.com/diet-and-nutrition/dietitians-or-nutritionists-breaking-down-the-differences/,2026-09-22,True,
unreachable external link,https://www.jointcommission.org/,HTTP 403,https://www.bariatriccounselingcenter.com/staff/bariatric-counseling-center-awarded-gold-seal-accreditation/,2026-09-22,True,
image unreachable,https://secure.gravatar.com/avatar/e5a5eb4b495d47fa7a557316a5590caf92bf48afbac2e057dfedbc796c7f5b41?s=160&d=mm&r=g,URLError: <urlopen error [WinError 10054] An existing connection was forcibly closed by th,https://www.bariatriccounselingcenter.com/staff/bariatric-counseling-center-awarded-gold-seal-accreditation/,2026-09-24,False,
image unreachable,https://secure.gravatar.com/avatar/6e5c27643805c010fdbb4744ce350423829b3d1d6335d1cc25968a849c69153e?s=160&d=mm&r=g,URLError: <urlopen error [WinError 10054] An existing connection was forcibly closed by th,https://www.bariatriccounselingcenter.com/self-improvement/behavioral-patterns/how-identify-self-sabotage-causes/ https://www.bariatriccounselingcenter.com/self-improvement/behavioral-patterns/how-to-identify-self-sabotage-behaviors-part-2/ https://www.bariatriccounselingcenter.com/self-improvement/how-to-maintain-motivation-on-your-weight-loss-journey/ https://www.bariatriccounselingcenter.com/self-improvement/how-to-stop-self-sabotage-part-3/ https://www.bariatriccounselingcenter.com/weight-loss-journey/how-family-support-impacts-weight-loss-a-guide-for-loved-ones/,2026-09-24,False,
unreachable external link,https://onlinelibrary.wiley.com/doi/10.1002/oby.21733,HTTP 403,https://www.bariatriccounselingcenter.com/self-improvement/mental-health/better-sleep-for-weight-loss-how-rest-impacts-your-metabolism-and-cravings/ https://www.bariatriccounselingcenter.com/self-improvement/mental-health/holistic-weight-loss-approach-overcoming-diet-culture-with-mind-and-body-wellness/,2026-09-22,True,
